userId,songId,interactionType,weight
21,1322,play,0.19
21,18278,like,3.0
21,1315,play,0.5167
21,21526,play,0.83
21,33320,play,0.5067
21,36461,play,0.8733
21,6911,play,0.6267
21,36340,play,0.8867
21,32837,dislike,-2.0
21,9071,like,3.0
21,12350,play,0.7067
21,13499,dislike,-2.0
21,23637,play,0.07
21,24242,play,0.2067
21,38647,play,0.7767
21,16335,dislike,-2.0
21,13944,like,3.0
21,5652,dislike,-2.0
21,7638,play,0.12
21,14052,play,0.8033
21,13359,play,0.9633
21,950,play,0.5733
21,23842,play,0.88
21,43379,play,0.8
21,25408,dislike,-2.0
21,15339,like,3.0
21,36547,play,0.51
21,9999,like,3.0
21,46392,play,0.6333
21,21293,like,3.0
21,27129,play,0.2367
21,44238,like,3.0
21,1704,like,3.0
21,25246,play,0.2233
21,47483,dislike,-2.0
21,5864,play,0.8333
21,5874,play,0.6067
21,33556,play,0.4133
22,40619,like,3.0
22,8887,play,0.6767
22,18265,play,0.17
22,5292,play,0.1367
22,26329,play,0.38
22,35031,play,0.4733
22,11292,play,0.9067
22,18086,play,0.35
22,36813,like,3.0
22,1508,dislike,-2.0
22,36752,play,0.1967
22,13466,dislike,-2.0
22,35662,play,0.7533
22,11454,play,0.94
22,20020,play,0.8367
22,10350,play,0.1967
22,17915,play,0.9367
22,33497,play,0.1733
22,38631,like,3.0
22,7529,dislike,-2.0
22,36820,play,0.1133
22,36191,play,0.55
22,33658,play,0.3633
22,82,play,0.8267
22,45063,dislike,-2.0
22,8929,like,3.0
22,42451,play,0.91
22,13778,play,0.5267
22,42252,like,3.0
22,9104,play,0.63
22,16995,play,0.9567
22,28913,play,0.21
22,18124,play,0.02
22,23798,play,0.55
22,22467,play,0.5033
22,27780,play,0.5767
22,24461,play,0.9233
22,14815,dislike,-2.0
22,11200,play,0.3733
22,23407,dislike,-2.0
22,47543,play,0.0567
22,9229,like,3.0
22,46269,play,0.7967
22,995,like,3.0
22,44006,play,0.1967
22,26559,play,0.9933
22,42514,play,0.42
22,19544,play,0.6467
22,10695,like,3.0
22,8095,play,0.8633
22,15276,play,0.4067
22,21759,play,0.5133
22,19693,play,0.6433
22,24394,like,3.0
22,35875,like,3.0
22,35203,like,3.0
22,26182,play,0.81
22,28473,play,0.7133
22,35775,dislike,-2.0
22,40871,play,0.25
22,7868,play,0.49
22,23055,play,0.9067
22,38467,play,0.1667
22,4633,play,0.2633
22,28264,like,3.0
22,13783,like,3.0
22,5026,like,3.0
22,27442,play,0.77
22,27453,dislike,-2.0
22,28525,like,3.0
22,18357,play,0.6433
22,8843,play,0.11
22,8600,play,0.1533
22,42013,play,0.5767
22,31861,like,3.0
22,15196,play,0.08
22,28501,like,3.0
22,44678,play,0.7567
22,822,play,0.3767
22,23710,play,0.65
22,19443,play,0.02
22,13162,play,0.7567
22,11219,like,3.0
23,22608,play,0.9333
23,42381,like,3.0
23,6810,like,3.0
23,15566,dislike,-2.0
23,22567,play,0.42
23,25660,play,0.9367
23,23106,play,0.4767
23,4422,play,0.59
23,36422,like,3.0
23,18270,like,3.0
23,28898,like,3.0
23,34576,dislike,-2.0
23,41149,play,0.3233
23,32240,play,0.7233
23,5212,play,0.1567
23,25365,play,0.81
23,6698,play,0.5867
23,25259,play,0.7033
23,5141,play,0.5067
23,32489,play,0.3833
23,27532,play,0.35
23,42362,dislike,-2.0
23,10011,like,3.0
23,43467,like,3.0
23,25409,play,0.0633
23,2556,play,0.62
23,41010,like,3.0
23,10574,play,0.58
23,26742,play,0.2433
23,24762,like,3.0
23,6970,play,0.8233
23,23992,play,0.0467
23,35205,play,0.6967
23,21404,dislike,-2.0
23,4560,play,0.5033
23,45989,play,0.36
23,4896,like,3.0
23,28358,play,0.9767
23,4058,play,0.0667
23,10376,play,0.7233
23,26713,play,0.3067
23,12147,play,0.6833
23,12395,like,3.0
23,47246,play,0.5933
23,27574,play,0.4233
23,5271,dislike,-2.0
23,35278,dislike,-2.0
23,10573,play,0.6867
23,15155,play,0.0433
23,9110,play,0.1267
23,22013,play,0.2933
23,40665,play,0.3833
23,26135,play,0.46
23,32364,play,0.5933
23,8623,play,0.3333
23,16723,play,0.7
23,11655,play,0.05
23,40767,play,0.6633
23,3763,play,1.0
23,35801,play,0.95
23,23331,like,3.0
23,8347,play,0.4967
23,25455,play,0.3
23,6018,play,0.65
23,20710,play,0.4133
23,19353,play,0.68
23,33988,dislike,-2.0
23,6602,dislike,-2.0
23,38912,dislike,-2.0
23,42998,play,0.6767
23,18805,play,0.59
23,22357,play,0.33
23,23420,play,0.0433
23,18775,play,0.1133
23,14662,play,0.1433
24,24740,play,0.35
24,18427,play,0.26
24,17711,like,3.0
24,42404,like,3.0
24,10724,dislike,-2.0
24,22929,play,0.2533
24,11056,play,0.7867
24,34865,play,0.9767
24,44982,play,0.03
24,42130,play,0.4167
24,23093,play,0.4833
24,23464,play,0.08
24,35117,dislike,-2.0
24,6596,play,0.11
24,24453,play,0.82
24,25215,play,0.27
24,47074,play,0.0533
24,15017,dislike,-2.0
24,13997,play,0.3367
24,26137,play,0.36
24,18990,like,3.0
24,41329,play,0.69
24,36692,play,0.2833
24,12909,play,0.5567
24,15831,like,3.0
24,18530,play,0.0733
24,45925,play,0.7333
24,20004,like,3.0
24,14844,dislike,-2.0
24,47303,play,0.1167
24,45368,play,0.6833
24,563,play,0.2867
24,13142,like,3.0
24,34055,play,0.89
24,35150,play,0.69
24,4120,play,0.5967
24,2525,play,0.6233
24,33798,like,3.0
24,18261,play,0.71
24,2454,play,0.3667
24,9227,play,0.0333
24,14966,play,0.91
24,16600,play,0.8267
24,38158,play,0.3367
24,26665,like,3.0
24,23286,play,0.4833
24,1096,like,3.0
24,16913,play,0.3067
24,4100,play,0.5633
24,47407,play,0.3867
24,34210,like,3.0
24,1022,play,0.7033
24,8634,play,0.0267
24,27676,play,0.6633
24,47550,dislike,-2.0
24,6857,play,0.85
24,18094,like,3.0
24,5758,like,3.0
24,13942,play,0.67
24,522,like,3.0
24,17380,play,0.41
25,35480,play,0.9067
25,46558,play,0.1967
25,10217,like,3.0
25,12314,play,0.51
25,13139,play,0.57
25,5279,play,0.6667
25,39840,play,0.03
25,20503,dislike,-2.0
25,9296,play,0.3267
25,17281,play,0.98
25,14608,like,3.0
25,42561,dislike,-2.0
25,38886,like,3.0
25,30008,play,0.5
25,27755,play,0.2333
25,45235,dislike,-2.0
25,26159,play,0.3833
25,21680,play,0.6033
25,8668,play,0.2033
25,46970,play,0.2733
